OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
898055,1336db55,12/6/2015 23:00,Sunday,Dec,6,2015,23,12,7,2015,GRAND LARCENY,FELONY,E,43,BRONX,N.Y. POLICE DEPT,1017818,241189,"(40.8286280180001, -73.8787059809999)"
898102,89394616,2/27/2015 7:30,Friday,Feb,27,2015,7,3,2,2015,BURGLARY,FELONY,G,114,QUEENS,N.Y. POLICE DEPT,1007846,222146,"(40.776392489, -73.914805955)"
898105,f3163f9b,2/27/2015 8:00,Friday,Feb,27,2015,8,3,2,2015,GRAND LARCENY,FELONY,E,84,BROOKLYN,N.Y. POLICE DEPT,986894,190458,"(40.6894478040001, -73.990467493)"
898106,d1ffd083,2/27/2015 8:00,Friday,Feb,27,2015,8,3,3,2015,GRAND LARCENY,FELONY,F,13,MANHATTAN,N.Y. POLICE DEPT,988430,210219,"(40.743686429, -73.9849165909999)"
898115,adb1741b,2/27/2015 9:00,Friday,Feb,27,2015,9,3,4,2015,GRAND LARCENY,FELONY,E,94,BROOKLYN,N.Y. POLICE DEPT,998491,202870,"(40.7235047550001, -73.948623837)"
898388,4038c147,2/27/2015 10:00,Friday,Feb,27,2015,10,3,2,2015,BURGLARY,FELONY,G,24,MANHATTAN,N.Y. POLICE DEPT,993377,230781,"(40.800120034, -73.967035849)"
898395,3.00E+06,2/27/2015 11:00,Friday,Feb,27,2015,11,3,3,2015,GRAND LARCENY,FELONY,F,76,BROOKLYN,N.Y. POLICE DEPT,985356,187044,"(40.6800774770001, -73.9960138989999)"
898398,8b5a9aeb,2/27/2015 11:00,Friday,Feb,27,2015,11,3,3,2015,GRAND LARCENY,FELONY,G,13,MANHATTAN,N.Y. POLICE DEPT,985571,208720,"(40.7395729360001, -73.995234495)"
898943,6c61987e,2/27/2015 13:00,Friday,Feb,27,2015,13,3,3,2015,GRAND LARCENY,FELONY,E,14,MANHATTAN,N.Y. POLICE DEPT,988050,214940,"(40.7566445570001, -73.9862852749999)"
899230,ede2a59f,2/27/2015 15:00,Friday,Feb,27,2015,15,3,3,2015,GRAND LARCENY,FELONY,G,42,BRONX,N.Y. POLICE DEPT,1009174,239145,"(40.8230464440001, -73.909948)"
899234,da602660,2/27/2015 15:30,Friday,Feb,27,2015,15,3,2,2015,BURGLARY,FELONY,E,46,BRONX,N.Y. POLICE DEPT,1008853,248195,"(40.84788697, -73.911074618)"
899508,7c9ede80,2/27/2015 16:30,Friday,Feb,27,2015,16,3,2,2015,BURGLARY,FELONY,E,60,BROOKLYN,N.Y. POLICE DEPT,989319,149891,"(40.578098938, -73.981753695)"
900089,24711265,2/27/2015 20:30,Friday,Feb,27,2015,20,3,2,2015,BURGLARY,FELONY,G,63,BROOKLYN,N.Y. POLICE DEPT,1003390,170645,"(40.635045206, -73.9310411179999)"
900355,de6f100b,2/27/2015 20:30,Friday,Feb,27,2015,20,3,1,2015,GRAND LARCENY,FELONY,F,108,QUEENS,N.Y. POLICE DEPT,1008221,212606,"(40.750206646, -73.9134860029999)"
