OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
888178,d88a70cb,11/12/2015 12:15,Thursday,Nov,12,2015,12,11,12,2015,GRAND LARCENY,FELONY,B,79,BROOKLYN,N.Y. POLICE DEPT,999471,187078,"(40.6801577840001, -73.945123957)"
888180,8c6f1d2a,11/12/2015 12:15,Thursday,Nov,12,2015,12,11,12,2015,BURGLARY,FELONY,C,47,BRONX,N.Y. HOUSING POLICE,1027359,261998,"(40.885701, -73.8440965299999)"
888224,82a7c2e6,1/10/2015 5:09,Saturday,Jan,10,2015,5,1,10,2015,FELONY ASSAULT,FELONY,A,34,MANHATTAN,N.Y. POLICE DEPT,1002762,249036,"(40.850210136, -73.93308803)"
888231,3d1d4716,1/10/2015 6:35,Saturday,Jan,10,2015,6,1,10,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,C,72,BROOKLYN,N.Y. POLICE DEPT,983250,177976,"(40.6551878450001, -74.0036054729999)"
888237,d30ce60,1/10/2015 8:00,Saturday,Jan,10,2015,8,1,13,2015,ROBBERY,FELONY,A,81,BROOKLYN,N.Y. POLICE DEPT,1001625,192302,"(40.6944925000001, -73.9373444999999)"
888240,9416dd54,1/10/2015 9:00,Saturday,Jan,10,2015,9,1,10,2015,ROBBERY,FELONY,A,88,BROOKLYN,N.Y. POLICE DEPT,994820,188402,"(40.683798638, -73.9618905)"
888242,6cac0149,1/10/2015 10:00,Saturday,Jan,10,2015,10,2,4,2015,GRAND LARCENY,FELONY,B,105,QUEENS,N.Y. POLICE DEPT,1054261,181248,"(40.663892032, -73.7476464109999)"
888447,5b6fec59,11/12/2015 12:50,Thursday,Nov,12,2015,12,11,12,2015,ROBBERY,FELONY,C,105,QUEENS,N.Y. POLICE DEPT,1058098,180655,"(40.662233214, -73.733822501)"
888449,721220a6,11/12/2015 12:55,Thursday,Nov,12,2015,12,11,12,2015,ROBBERY,FELONY,B,41,BRONX,N.Y. POLICE DEPT,1015467,234421,"(40.8100603980001, -73.887232618)"
888451,ac28c1c,11/12/2015 13:00,Thursday,Nov,12,2015,13,11,19,2015,GRAND LARCENY,FELONY,C,13,MANHATTAN,N.Y. POLICE DEPT,988028,208947,"(40.7401952870001, -73.98636805)"
888453,493c229c,11/12/2015 13:00,Thursday,Nov,12,2015,13,11,12,2015,FELONY ASSAULT,FELONY,C,114,QUEENS,N.Y. TRANSIT POLICE,1008017,214982,"(40.756728712, -73.914213875)"
888456,2eff53c1,11/12/2015 13:10,Thursday,Nov,12,2015,13,11,12,2015,GRAND LARCENY,FELONY,C,14,MANHATTAN,N.Y. TRANSIT POLICE,986848,212883,"(40.750999048, -73.9906247119999)"
888459,70fa189c,11/12/2015 13:45,Thursday,Nov,12,2015,13,11,12,2015,BURGLARY,FELONY,B,9,MANHATTAN,N.Y. POLICE DEPT,988625,204896,"(40.7290760130001, -73.984216332)"
888465,f772b772,11/12/2015 14:00,Thursday,Nov,12,2015,14,11,12,2015,ROBBERY,FELONY,C,44,BRONX,N.Y. POLICE DEPT,1005508,240121,"(40.825734869, -73.9231906049999)"
888505,e05db789,1/10/2015 10:00,Saturday,Jan,10,2015,10,1,10,2015,ROBBERY,FELONY,B,104,QUEENS,N.Y. POLICE DEPT,1011123,194483,"(40.700455091, -73.90308456)"
888510,b927aee5,1/10/2015 10:00,Saturday,Jan,10,2015,10,1,16,2015,FELONY ASSAULT,FELONY,B,48,BRONX,N.Y. POLICE DEPT,1015980,248838,"(40.8496290800001, -73.8853112639999)"
888511,62d9a415,1/10/2015 10:29,Saturday,Jan,10,2015,10,6,16,2015,GRAND LARCENY,FELONY,C,114,QUEENS,N.Y. POLICE DEPT,1008205,214291,"(40.7548315860001, -73.913537747)"
